subject,grade,press,year,lesson_number_cn,lesson_name,vocab_preview
生活課程,1,南一版,109_1,,生活南一1上第三單元,"扮演,抱怨,謝意,探索,手藝..."
生活課程,1,南一版,109_1,,我上一年級了,"小號,大號,馬桶,廁所,如廁..."
生活課程,1,南一版,109_1,,迎接新的一年,"吉祥,過年,恭喜,咚,新年..."
生活課程,1,南一版,109_1,,新的一年,"祭祖,年夜飯,壓歲錢,長年菜,除夕..."
生活課程,1,南一版,109_1,,新的一年,"新年,元旦,跨年,升旗,新年參拜..."
生活課程,1,南一版,109_1,,新的一年,"壓歲錢,除夕,守歲,年獸,春聯"
生活課程,2,康軒版,109_1,,防震小達人,"地震,地震保命三步驟,防災卡"
生活課程,2,康軒版,109_1,,歲末傳溫情,"米飯,跛,自閉症,身心障礙,飲料..."
生活課程,2,康軒版,109_1,,珍惜食物,"稻穗,稻米,農夫,珍惜,糙米..."
