stock_id,signal_date,entry_price,support,resistance,ma20,deviation_pct,stop_baseline,stop_a,target_baseline,target_b,baseline_outcome,baseline_ret_pct,a_outcome,a_ret_pct,b_outcome,b_ret_pct,ab_outcome,ab_ret_pct
2892,2026-06-15,31.3,27.2,31.65,28.82,8.6,29.73,29.73,31.65,32.6,target,1.12,target,1.12,target,4.15,target,4.15
2880,2022-12-01,22.8,20.65,23.4,22.03,3.51,21.66,20.98,23.4,24.1,neither,-2.19,neither,-2.19,neither,-2.19,neither,-2.19
2880,2023-04-27,22.8,22.05,23.6,22.62,0.82,21.72,20.98,23.6,24.31,stopped,-4.74,neither,-2.41,stopped,-4.74,neither,-2.41
2880,2023-06-07,22.4,21.7,23.0,22.32,0.35,21.37,20.61,23.0,23.69,stopped,-4.6,neither,-4.46,stopped,-4.6,neither,-4.46
2880,2023-11-17,21.6,20.25,21.7,20.77,4.02,20.52,19.87,21.7,22.35,target,0.46,target,0.46,target,3.47,target,3.47
2880,2024-03-14,22.8,21.55,22.8,21.9,4.13,21.66,20.98,24.62,25.36,neither,0.66,neither,0.66,neither,0.66,neither,0.66
2880,2024-12-03,27.0,25.1,27.0,25.65,5.27,25.65,25.65,29.16,30.03,stopped,-5.0,stopped,-5.0,stopped,-5.0,stopped,-5.0
2880,2025-07-08,28.4,26.1,28.6,27.08,4.87,26.98,26.13,28.6,29.46,target,0.7,target,0.7,target,3.73,target,3.73
2880,2025-12-08,30.55,28.35,31.2,29.47,3.67,29.02,28.11,31.2,32.14,target,2.13,target,2.13,target,5.2,target,5.2
2880,2026-04-17,36.15,32.3,38.1,34.09,6.04,34.34,34.34,38.1,39.24,stopped,-5.01,stopped,-5.01,stopped,-5.01,stopped,-5.01
2880,2026-06-17,38.1,29.6,38.6,33.94,12.27,36.2,36.96,38.6,39.76,target,1.31,target,1.31,stopped,-4.99,stopped,-2.99
1301,2022-11-23,88.9,81.9,91.8,85.79,3.62,84.45,81.79,91.8,94.55,neither,-3.94,neither,-3.94,neither,-3.94,neither,-3.94
1301,2023-12-01,80.7,77.3,83.3,80.03,0.84,76.14,74.24,83.3,85.8,neither,-1.86,neither,-1.86,neither,-1.86,neither,-1.86
1301,2025-03-04,37.35,33.35,43.7,37.18,0.47,35.48,34.36,43.7,45.01,neither,1.34,neither,1.34,neither,1.34,neither,1.34
1301,2025-07-02,36.0,33.35,38.35,35.48,1.47,34.2,33.12,38.35,39.5,stopped,-5.0,target,6.53,stopped,-5.0,target,9.72
1301,2025-07-21,38.9,33.4,39.5,35.75,8.8,36.95,36.95,39.5,40.69,target,1.54,target,1.54,target,4.6,target,4.6
1301,2025-11-12,41.35,36.5,41.9,38.72,6.8,39.28,39.28,41.9,43.16,target,1.33,target,1.33,target,4.38,target,4.38
1301,2026-01-19,43.7,37.9,44.8,40.37,8.25,41.52,41.52,44.8,46.14,target,2.52,target,2.52,target,5.58,target,5.58
1301,2026-06-25,58.0,43.1,59.8,48.9,18.6,55.1,56.26,59.8,61.59,stopped,-5.0,stopped,-3.0,stopped,-5.0,stopped,-3.0
1303,2022-11-10,70.6,63.1,71.1,68.15,3.59,67.07,64.95,71.1,73.23,target,0.71,target,0.71,target,3.73,target,3.73
1303,2023-01-31,75.4,70.1,78.6,73.0,3.29,71.63,69.37,78.6,80.96,neither,-0.4,neither,-0.4,neither,-0.4,neither,-0.4
1303,2023-11-28,68.6,61.7,69.6,66.34,3.41,65.17,63.11,69.6,71.69,stopped,-5.0,neither,-3.64,stopped,-5.0,neither,-3.64
1303,2025-03-06,33.5,29.85,39.9,32.74,2.33,31.82,30.82,39.9,41.1,stopped,-5.01,stopped,-8.0,stopped,-5.01,stopped,-8.0
1303,2025-07-29,35.85,26.25,37.3,29.74,20.54,34.06,34.77,37.3,38.42,target,4.04,target,4.04,target,7.17,target,7.17
1326,2022-11-10,70.8,64.3,70.9,68.72,3.02,67.26,65.14,70.9,73.03,target,0.14,target,0.14,target,3.15,target,3.15
1326,2023-06-07,69.5,67.0,70.5,69.08,0.6,66.0,63.94,70.5,72.61,stopped,-5.04,stopped,-8.0,stopped,-5.04,stopped,-8.0
1326,2023-11-24,64.0,60.6,66.1,62.99,1.6,60.8,58.88,66.1,68.08,neither,-4.06,neither,-4.06,neither,-4.06,neither,-4.06
1326,2024-05-17,56.6,52.3,58.2,55.65,1.7,53.77,52.07,58.2,59.95,stopped,-5.0,stopped,-8.0,stopped,-5.0,stopped,-8.0
1326,2025-03-10,29.6,25.95,34.95,28.8,2.77,28.12,27.23,34.95,36.0,stopped,-5.0,stopped,-8.01,stopped,-5.0,stopped,-8.01
1326,2025-07-29,26.95,21.8,29.25,24.54,9.82,25.6,25.6,29.25,30.13,target,8.53,target,8.53,target,11.8,target,11.8
1326,2026-06-04,55.2,43.65,59.0,47.65,15.83,52.44,53.54,59.0,60.77,stopped,-5.0,stopped,-3.01,stopped,-5.0,stopped,-3.01
2002,2022-09-13,29.8,28.4,32.3,29.07,2.51,27.97,27.42,32.3,33.27,stopped,-6.14,stopped,-7.99,stopped,-6.14,stopped,-7.99
2002,2022-11-25,28.75,26.55,29.9,28.06,2.47,27.31,26.45,29.9,30.8,target,4.0,target,4.0,target,7.13,target,7.13
2002,2023-11-30,26.2,24.3,27.2,25.29,3.62,24.89,24.1,27.2,28.02,neither,3.05,neither,3.05,neither,3.05,neither,3.05
2002,2024-04-24,24.75,23.8,26.25,24.61,0.58,23.44,22.77,26.25,27.04,neither,-2.42,neither,-2.42,neither,-2.42,neither,-2.42
2002,2025-02-20,22.65,18.35,23.5,20.56,10.18,21.52,21.97,23.5,24.21,target,3.75,target,3.75,target,6.89,target,6.89
2002,2025-08-13,19.65,18.75,21.55,19.38,1.41,18.47,18.08,21.55,22.2,neither,-1.02,neither,-1.02,neither,-1.02,neither,-1.02
2002,2025-12-23,18.6,18.0,19.9,18.58,0.12,17.73,17.11,19.9,20.5,neither,2.15,neither,2.15,neither,2.15,neither,2.15
2603,2022-09-19,169.0,78.5,186.0,96.32,75.45,160.55,163.93,186.0,186.0,stopped,-5.0,stopped,-3.0,stopped,-5.0,stopped,-3.0
2603,2023-03-14,171.0,142.5,172.0,157.22,8.76,162.45,162.45,172.0,177.16,target,0.58,target,0.58,target,3.6,target,3.6
2603,2023-09-19,116.0,104.0,162.5,108.17,7.23,110.2,110.2,162.5,167.38,stopped,-5.0,stopped,-5.0,stopped,-5.0,stopped,-5.0
2603,2023-11-17,115.0,103.0,120.5,109.58,4.95,109.25,105.8,120.5,124.12,target,4.78,target,4.78,target,7.93,target,7.93
